,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone
0,0,3,male,-0.5525042627343654,1,0,2.1102132003465894,S,Third,man,True,Southampton,no,False
1,1,1,female,0.5964145197107078,1,0,4.2805931204649,C,First,woman,False,Cherbourg,yes,False
2,1,3,female,-0.2652745671230971,0,0,2.188856327665703,S,Third,woman,False,Southampton,yes,True
3,1,1,female,0.38099224800225656,1,0,3.9908341858524357,S,First,woman,False,Southampton,yes,False
4,0,3,male,0.38099224800225656,0,0,2.2027647577118348,S,Third,man,True,Southampton,no,True
5,0,3,male,-0.22882591345669478,0,0,2.246892662898172,Q,Third,man,True,Queenstown,no,True
6,0,1,male,1.7453333021557809,0,0,3.967694202798607,S,First,man,True,Southampton,no,True
7,0,3,male,-1.9886527407907069,3,1,3.0944457464900235,S,Third,child,False,Southampton,no,False
8,1,3,female,-0.19346714322028,0,2,2.495953738718064,S,Third,woman,False,Southampton,yes,False
9,1,2,female,-1.126963653956902,1,0,3.436268471383741,C,Second,child,False,Cherbourg,yes,False
10,1,3,female,-1.8450378929850726,1,1,2.8735646395797834,S,Third,child,False,Southampton,yes,False
11,1,1,female,2.0325629977670494,0,0,3.3160025355989236,S,First,woman,False,Southampton,yes,True
12,0,3,male,-0.6961191105399995,0,0,2.2027647577118348,S,Third,man,True,Southampton,no,True
13,0,3,male,0.6682219436135248,1,5,3.4742929367327062,S,Third,man,True,Southampton,no,False
14,0,3,female,-1.126963653956902,0,0,2.180891922715322,S,Third,child,False,Southampton,no,True
15,1,2,female,1.817140726058598,0,0,2.833213344056216,S,Second,woman,False,Southampton,yes,True
16,0,3,male,-1.9886527407907069,4,1,3.405355391810819,Q,Third,child,False,Queenstown,no,False
17,1,2,male,0.07514339510224774,0,0,2.6390573296152584,S,Second,man,True,Southampton,yes,True
18,0,3,female,0.09376255239098828,1,0,2.9444389791664403,S,Third,woman,False,Southampton,no,False
19,1,3,female,-0.5704561187100696,0,0,2.1071782966514356,C,Third,woman,False,Cherbourg,yes,True
20,0,2,male,0.38099224800225656,0,0,3.295836866004329,S,Second,man,True,Southampton,no,True
21,1,2,male,0.3091848240994395,0,0,2.6390573296152584,S,Second,man,True,Southampton,yes,True
22,1,3,female,-1.0551562300540849,0,0,2.2004637699272855,Q,Third,child,False,Queenstown,yes,True
23,1,1,male,-0.12165971931746294,0,0,3.597312260588446,S,First,man,True,Southampton,yes,True
24,0,3,female,-1.5578081973738045,3,1,3.0944457464900235,S,Third,child,False,Southampton,no,False
25,1,3,female,0.5964145197107078,1,5,3.4777725458882283,S,Third,woman,False,Southampton,yes,False
26,0,3,male,-0.22882591345669478,0,0,2.1071782966514356,C,Third,man,True,Cherbourg,no,True
27,0,1,male,-0.7679265344428166,3,2,5.575949103146316,S,First,man,True,Southampton,no,False
28,1,3,female,-0.5704561187100696,0,0,2.1837114628556327,Q,Third,woman,False,Queenstown,yes,True
29,0,3,male,-0.22882591345669478,0,0,2.1855792552411137,S,Third,man,True,Southampton,no,True
30,0,1,male,0.740029367516342,0,0,3.357621598945279,C,First,man,True,Cherbourg,no,True
31,1,1,female,0.35311407166351566,1,0,4.993969182787072,C,First,woman,False,Cherbourg,yes,False
32,1,3,female,-0.5704561187100696,0,0,2.169053700369523,Q,Third,woman,False,Queenstown,yes,True
33,0,2,male,2.607022388989586,0,0,2.4423470353692043,S,Second,man,True,Southampton,no,True
34,0,1,male,-0.12165971931746294,1,0,4.420896324687287,C,First,man,True,Cherbourg,no,False
35,0,1,male,0.8836442153219761,1,0,3.970291913552122,S,First,man,True,Southampton,no,False
36,1,3,male,-0.22882591345669478,0,0,2.1076888046179385,C,Third,man,True,Cherbourg,yes,True
37,0,3,male,-0.6243116866371824,0,0,2.2027647577118348,S,Third,man,True,Southampton,no,True
38,0,3,female,-0.8397339583456337,2,0,2.9444389791664403,S,Third,woman,False,Southampton,no,False
39,1,3,female,-1.126963653956902,1,0,2.5048481563289,C,Third,child,False,Cherbourg,yes,False
40,0,3,female,0.740029367516342,1,0,2.348991465808201,S,Third,woman,False,Southampton,no,False
41,0,2,female,-0.19346714322028,1,0,3.091042453358316,S,Second,woman,False,Southampton,no,False
42,0,3,male,-0.22882591345669478,0,0,2.1855792552411137,C,Third,man,True,Cherbourg,no,True
43,1,2,female,-1.9168453168878898,1,2,3.7513658711253766,C,Second,child,False,Cherbourg,yes,False
44,1,3,female,-0.7679265344428166,0,0,2.1837114628556327,Q,Third,woman,False,Queenstown,yes,True
45,0,3,male,-0.22882591345669478,0,0,2.2027647577118348,S,Third,man,True,Southampton,no,True
46,0,3,male,-0.22882591345669478,1,0,2.803360380906535,Q,Third,man,True,Queenstown,no,False
48,0,3,male,-0.22882591345669478,2,0,3.1214482048688246,C,Third,man,True,Cherbourg,no,False
49,0,3,female,-0.8397339583456337,1,0,2.9338568698359038,S,Third,woman,False,Southampton,no,False
50,0,3,male,-1.6296156212766215,4,1,3.705920919968788,S,Third,child,False,Southampton,no,False
51,0,3,male,-0.6243116866371824,0,0,2.174751721484161,S,Third,man,True,Southampton,no,True
52,1,1,female,1.3862961826416955,1,0,4.353230991152628,C,First,woman,False,Cherbourg,yes,False
53,1,2,female,-0.049852295414645864,1,0,3.295836866004329,S,Second,woman,False,Southampton,yes,False
54,0,1,male,2.535214965086769,0,1,4.142804513146981,C,First,man,True,Cherbourg,no,False
55,1,1,male,0.8320424051549814,0,0,3.597312260588446,S,First,man,True,Southampton,yes,True
56,1,2,female,-0.6243116866371824,0,0,2.4423470353692043,S,Second,woman,False,Southampton,yes,True
57,0,3,male,-0.0857560073660544,0,0,2.1076888046179385,C,Third,man,True,Cherbourg,no,True
58,1,2,female,-1.7732304690822556,1,2,3.3586377672433594,S,Second,child,False,Southampton,yes,False
59,0,3,male,-1.3423859256653532,5,2,3.8691155044168695,S,Third,child,False,Southampton,no,False
60,0,3,male,-0.5525042627343654,0,0,2.1076888046179385,C,Third,man,True,Cherbourg,no,True
61,1,1,female,0.5964145197107078,0,0,4.394449154672439,S,First,woman,False,Southampton,yes,True
62,0,1,male,1.0990664870304272,1,0,4.436455632600354,S,First,man,True,Southampton,no,False
63,0,3,male,-1.8450378929850726,3,2,3.3638415951183864,S,Third,child,False,Southampton,no,False
64,0,1,male,0.8320424051549814,0,0,3.357621598945279,C,First,man,True,Cherbourg,no,True
65,1,3,male,-0.22882591345669478,1,1,2.7878344138303452,C,Third,man,True,Cherbourg,yes,False
66,1,2,female,-0.049852295414645864,0,0,2.4423470353692043,S,Second,woman,False,Southampton,yes,True
67,0,3,male,-0.7679265344428166,0,0,2.2146605719425225,S,Third,man,True,Southampton,no,True
68,1,3,female,-0.9115413822484507,4,2,2.188856327665703,S,Third,woman,False,Southampton,yes,False
69,0,3,male,-0.2652745671230971,2,0,2.2682524139135403,S,Third,man,True,Southampton,no,False
70,0,2,male,0.16556997629380535,0,0,2.4423470353692043,S,Second,man,True,Southampton,no,True
71,0,3,female,-0.9833488061512679,5,2,3.8691155044168695,S,Third,woman,False,Southampton,no,False
72,0,2,male,-0.6243116866371824,0,0,4.310799125385514,S,Second,man,True,Southampton,no,True
73,0,3,male,-0.2652745671230971,1,0,2.737880811060884,C,Third,man,True,Cherbourg,no,False
74,1,3,male,0.16556997629380535,0,0,4.05171190165724,S,Third,man,True,Southampton,yes,True
75,0,3,male,-0.33708199102591413,0,0,2.157559320943788,S,Third,man,True,Southampton,no,True
78,1,2,male,-2.072667426757003,0,2,3.4011973816621555,S,Second,child,False,Southampton,yes,False
79,1,3,female,0.021955128488171206,0,0,2.600836116795061,S,Third,woman,False,Southampton,yes,True
80,0,3,male,-0.5525042627343654,0,0,2.302585092994046,S,Third,man,True,Southampton,no,True
81,1,3,male,-0.049852295414645864,0,0,2.3513752571634776,S,Third,man,True,Southampton,yes,True
82,1,3,female,-0.5704561187100696,0,0,2.1733302571367834,Q,Third,woman,False,Queenstown,yes,True
83,0,1,male,-0.12165971931746294,0,0,3.8732821771117156,S,First,man,True,Southampton,no,True
84,1,2,female,-0.9115413822484507,0,0,2.4423470353692043,S,Second,woman,False,Southampton,yes,True
85,1,3,female,0.23737740019662243,3,0,2.8243506567983707,S,Third,woman,False,Southampton,yes,False
86,0,3,male,-0.9833488061512679,1,3,3.5660053559634015,S,Third,man,True,Southampton,no,False
88,1,1,female,-0.4806968388315483,3,2,5.575949103146316,S,First,woman,False,Southampton,yes,False
89,0,3,male,-0.4088894149287312,0,0,2.2027647577118348,S,Third,man,True,Southampton,no,True
90,0,3,male,-0.049852295414645864,0,0,2.2027647577118348,S,Third,man,True,Southampton,no,True
91,0,3,male,-0.6961191105399995,0,0,2.180891922715322,S,Third,man,True,Southampton,no,True
92,0,1,male,1.1708739109332444,1,0,4.1299529896894684,S,First,man,True,Southampton,no,False
93,0,3,male,-0.2652745671230971,1,2,3.0715352369694915,S,Third,man,True,Southampton,no,False
94,0,3,male,2.1043704216698664,0,0,2.1102132003465894,S,Third,man,True,Southampton,no,True
96,0,1,male,2.9660595085036716,0,0,3.57386695198272,C,First,man,True,Cherbourg,no,True
97,1,1,male,-0.4806968388315483,0,1,4.164465907853638,C,First,man,True,Cherbourg,yes,False
98,1,2,female,0.3091848240994395,0,1,3.1780538303479458,S,Second,woman,False,Southampton,yes,False
99,0,2,male,0.3091848240994395,1,0,3.295836866004329,S,Second,man,True,Southampton,no,False
100,0,3,female,-0.12165971931746294,0,0,2.1855792552411137,S,Third,woman,False,Southampton,no,True
102,0,1,male,-0.6243116866371824,0,1,4.360387947851531,S,First,man,True,Southampton,no,False
103,0,3,male,0.23737740019662243,0,0,2.267393053825037,S,Third,man,True,Southampton,no,True
104,0,3,male,0.5246070958078907,2,0,2.188856327665703,S,Third,man,True,Southampton,no,False
105,0,3,male,-0.12165971931746294,0,0,2.1855792552411137,S,Third,man,True,Southampton,no,True
106,1,3,female,-0.6243116866371824,0,0,2.157559320943788,S,Third,woman,False,Southampton,yes,True
107,1,3,male,-0.22882591345669478,0,0,2.1719067693519296,S,Third,man,True,Southampton,yes,True
108,0,3,male,0.5964145197107078,0,0,2.1855792552411137,S,Third,man,True,Southampton,no,True
109,1,3,female,-0.5704561187100696,1,0,3.224857896545748,Q,Third,woman,False,Queenstown,yes,False
110,0,1,male,1.2426813348360615,0,0,3.970291913552122,S,First,man,True,Southampton,no,True
111,0,3,female,-1.0910599420054934,1,0,2.737880811060884,C,Third,child,False,Cherbourg,no,False
112,0,3,male,-0.5525042627343654,0,0,2.2027647577118348,S,Third,man,True,Southampton,no,True
113,0,3,female,-0.6961191105399995,1,0,2.3818582738885534,S,Third,woman,False,Southampton,no,False
114,0,3,female,-0.9115413822484507,0,0,2.738146075922933,C,Third,woman,False,Cherbourg,no,True
115,0,3,male,-0.6243116866371824,0,0,2.188856327665703,S,Third,man,True,Southampton,no,True
116,0,3,male,2.930155796552263,0,0,2.169053700369523,Q,Third,man,True,Queenstown,no,True
117,0,2,male,-0.049852295414645864,1,0,3.091042453358316,S,Second,man,True,Southampton,no,False
118,0,1,male,-0.4088894149287312,0,1,5.515526544247129,C,First,man,True,Cherbourg,no,False
119,0,3,female,-1.9886527407907069,4,2,3.4742929367327062,S,Third,child,False,Southampton,no,False
120,0,2,male,-0.6243116866371824,2,0,4.310799125385514,S,Second,man,True,Southampton,no,False
122,0,2,male,0.2014736882452139,1,0,3.436268471383741,C,Second,man,True,Cherbourg,no,False
123,1,2,female,0.2014736882452139,0,0,2.6390573296152584,S,Second,woman,False,Southampton,yes,True
124,0,1,male,1.7453333021557809,0,1,4.360387947851531,S,First,man,True,Southampton,no,False
125,1,3,male,-1.2705785017625362,1,0,2.5048481563289,C,Third,child,False,Cherbourg,yes,False
126,0,3,male,-0.22882591345669478,0,0,2.169053700369523,Q,Third,man,True,Queenstown,no,True
127,1,3,male,-0.4088894149287312,0,0,2.0969990034181696,S,Third,man,True,Southampton,yes,True
128,1,3,female,-0.5704561187100696,1,1,3.1509523813392697,C,Third,woman,False,Cherbourg,yes,False
129,0,3,male,1.0990664870304272,0,0,2.076311648670908,S,Third,man,True,Southampton,no,True
130,0,3,male,0.23737740019662243,0,0,2.1855792552411137,C,Third,man,True,Cherbourg,no,True
131,0,3,male,-0.6961191105399995,0,0,2.0856720914304723,S,Third,man,True,Southampton,no,True
132,0,3,female,1.2426813348360615,1,0,2.740840023925201,S,Third,woman,False,Southampton,no,False
134,0,2,male,-0.33708199102591413,0,0,2.6390573296152584,S,Second,man,True,Southampton,no,True
135,0,2,male,-0.4806968388315483,0,0,2.775447133088262,C,Second,man,True,Cherbourg,no,True
136,1,1,female,-0.7679265344428166,0,2,3.3062747934011893,S,First,woman,False,Southampton,yes,False
137,0,1,male,0.5246070958078907,1,0,3.9908341858524357,S,First,man,True,Southampton,no,False
138,0,3,male,-0.9833488061512679,0,0,2.3240236363515288,S,Third,man,True,Southampton,no,True
139,0,1,male,-0.4088894149287312,0,0,4.384523514872469,C,First,man,True,Cherbourg,no,True
140,0,3,female,-0.5704561187100696,0,2,2.7878344138303452,C,Third,woman,False,Cherbourg,no,False
141,1,3,female,-0.5525042627343654,0,0,2.169053700369523,S,Third,woman,False,Southampton,yes,True
142,1,3,female,-0.4088894149287312,1,0,2.8243506567983707,S,Third,woman,False,Southampton,yes,False
143,0,3,male,-0.7679265344428166,0,0,2.0476928433652555,Q,Third,man,True,Queenstown,no,True
144,0,2,male,-0.8397339583456337,0,0,2.5257286443082556,S,Second,man,True,Southampton,no,True
145,0,2,male,-0.7679265344428166,1,1,3.6309854756950335,S,Second,man,True,Southampton,no,False
146,1,3,male,-0.19346714322028,0,0,2.174274334826008,S,Third,man,True,Southampton,yes,True
147,0,3,female,-1.4860007734709872,2,2,3.5660053559634015,S,Third,child,False,Southampton,no,False
148,0,2,male,0.48870338385648215,0,2,3.295836866004329,S,Second,man,True,Southampton,no,False
149,0,2,male,0.8836442153219761,0,0,2.6390573296152584,S,Second,man,True,Southampton,no,True
150,0,2,male,1.5299110304473298,0,0,2.6045398247325453,S,Second,man,True,Southampton,no,True
151,1,1,female,-0.5525042627343654,1,0,4.213607983048918,S,First,woman,False,Southampton,yes,False
152,0,3,male,1.8530444380100066,0,0,2.2027647577118348,S,Third,man,True,Southampton,no,True
153,0,3,male,0.7759330794677505,0,2,2.740840023925201,S,Third,man,True,Southampton,no,False
154,0,3,male,-0.22882591345669478,0,0,2.1177604059819726,S,Third,man,True,Southampton,no,True
155,0,1,male,1.5299110304473298,0,1,4.133231886474144,C,First,man,True,Cherbourg,no,False
156,1,3,female,-0.9833488061512679,0,0,2.167143305297764,Q,Third,woman,False,Queenstown,yes,True
157,0,3,male,0.021955128488171206,0,0,2.2027647577118348,S,Third,man,True,Southampton,no,True
158,0,3,male,-0.22882591345669478,0,0,2.2682524139135403,S,Third,man,True,Southampton,no,True
159,0,3,male,-0.22882591345669478,8,2,4.256321678298823,S,Third,man,True,Southampton,no,False
160,0,3,male,1.0272590631276102,0,1,2.8390784635086144,S,Third,man,True,Southampton,no,False
161,1,2,female,0.740029367516342,0,0,2.8183982582710754,S,Second,woman,False,Southampton,yes,True
162,0,3,male,-0.2652745671230971,0,0,2.1719067693519296,S,Third,man,True,Southampton,no,True
163,0,3,male,-0.9115413822484507,0,0,2.2682524139135403,S,Third,man,True,Southampton,no,True
164,0,3,male,-2.060460164693524,4,1,3.705920919968788,S,Third,child,False,Southampton,no,False
165,1,3,male,-1.4860007734709872,0,2,3.0692150503137943,S,Third,child,False,Southampton,yes,False
166,1,1,female,0.35311407166351566,0,1,4.02535169073515,S,First,woman,False,Southampton,yes,False
167,0,3,female,1.0990664870304272,1,4,3.3638415951183864,S,Third,woman,False,Southampton,no,False
168,0,1,male,0.8320424051549814,0,0,3.2930552230424524,S,First,man,True,Southampton,no,True
169,0,3,male,-0.12165971931746294,0,0,4.05171190165724,S,Third,man,True,Southampton,no,True
170,0,1,male,2.2479852694755005,0,0,3.5409593240373143,S,First,man,True,Southampton,no,True
171,0,3,male,-1.8450378929850726,4,1,3.405355391810819,Q,Third,child,False,Queenstown,no,False
172,1,3,female,-2.060460164693524,1,1,2.495953738718064,S,Third,child,False,Southampton,yes,False
174,0,1,male,1.8889481499614151,0,0,3.4561841799918147,C,First,man,True,Cherbourg,no,True
175,0,3,male,-0.8397339583456337,1,1,2.180891922715322,S,Third,man,True,Southampton,no,False
176,0,3,male,-0.22882591345669478,3,1,3.275887339030031,S,Third,man,True,Southampton,no,False
177,0,1,female,1.4581036065445128,0,0,3.391567832686312,C,First,woman,False,Cherbourg,no,True
178,0,2,male,0.021955128488171206,0,0,2.6390573296152584,S,Second,man,True,Southampton,no,True
179,0,3,male,0.45279967190507364,0,0,0.0,S,Third,man,True,Southampton,no,True
180,0,3,female,-0.5704561187100696,8,2,4.256321678298823,S,Third,woman,False,Southampton,no,False
181,0,2,male,0.07514339510224774,0,0,2.775708849576025,C,Second,man,True,Cherbourg,no,True
182,0,3,male,-1.4860007734709872,4,2,3.4777725458882283,S,Third,child,False,Southampton,no,False
183,1,2,male,-2.060460164693524,2,1,3.6888794541139363,S,Second,child,False,Southampton,yes,False
184,1,3,female,-1.8450378929850726,0,2,3.1365805821413706,S,Third,child,False,Southampton,yes,False
185,0,1,male,0.8320424051549814,0,0,3.9318256327243257,S,First,man,True,Southampton,no,True
186,1,3,female,-0.5704561187100696,1,0,2.803360380906535,Q,Third,woman,False,Queenstown,yes,False
187,1,1,male,1.0990664870304272,0,0,3.3160025355989236,S,First,man,True,Southampton,yes,True
188,0,3,male,0.740029367516342,1,1,2.803360380906535,Q,Third,man,True,Queenstown,no,False
189,0,3,male,0.45279967190507364,0,0,2.1855792552411137,S,Third,man,True,Southampton,no,True
190,1,2,female,0.16556997629380535,0,0,2.6390573296152584,S,Second,woman,False,Southampton,yes,True
191,0,2,male,-0.7679265344428166,0,0,2.6390573296152584,S,Second,man,True,Southampton,no,True
192,1,3,female,-0.7679265344428166,1,0,2.180891922715322,S,Third,woman,False,Southampton,yes,False
193,1,2,male,-1.9168453168878898,1,1,3.295836866004329,S,Second,child,False,Southampton,yes,False
194,1,1,female,1.0272590631276102,0,0,3.357621598945279,C,First,woman,False,Cherbourg,yes,True
195,1,1,female,2.0325629977670494,0,0,4.993969182787072,C,First,woman,False,Cherbourg,yes,True
197,0,3,male,0.8836442153219761,0,1,2.2411563979973974,S,Third,man,True,Southampton,no,False
199,0,2,female,-0.4088894149287312,0,0,2.6390573296152584,S,Second,woman,False,Southampton,no,True
200,0,3,male,-0.12165971931746294,0,0,2.3513752571634776,S,Third,man,True,Southampton,no,True
202,0,3,male,0.3091848240994395,0,0,2.0143428636837015,S,Third,man,True,Southampton,no,True
203,0,3,male,1.134970198981836,0,0,2.1071782966514356,C,Third,man,True,Cherbourg,no,True
204,1,3,male,-0.8397339583456337,0,0,2.2027647577118348,S,Third,man,True,Southampton,yes,True
205,0,3,female,-1.9886527407907069,0,1,2.4390808375825834,S,Third,child,False,Southampton,no,False
206,0,3,male,0.16556997629380535,1,0,2.8243506567983707,S,Third,man,True,Southampton,no,False
207,1,3,male,-0.2652745671230971,0,0,2.9850504252071306,C,Third,man,True,Cherbourg,yes,True
208,1,3,female,-0.9833488061512679,0,0,2.169053700369523,Q,Third,woman,False,Queenstown,yes,True
209,1,1,male,0.740029367516342,0,0,3.4657359027997265,C,First,man,True,Cherbourg,yes,True
210,0,3,male,-0.4088894149287312,0,0,2.0856720914304723,S,Third,man,True,Southampton,no,True
211,1,2,female,0.38099224800225656,0,0,3.091042453358316,S,Second,woman,False,Southampton,yes,True
212,0,3,male,-0.5525042627343654,0,0,2.1102132003465894,S,Third,man,True,Southampton,no,True
214,0,3,male,-0.22882591345669478,1,0,2.169053700369523,Q,Third,man,True,Queenstown,no,False
215,1,1,female,0.09376255239098828,1,0,4.738607824217808,C,First,woman,False,Cherbourg,yes,False
216,1,3,female,-0.19346714322028,0,0,2.188856327665703,S,Third,woman,False,Southampton,yes,True
217,0,2,male,0.8836442153219761,1,0,3.332204510175204,S,Second,man,True,Southampton,no,False
218,1,1,female,0.16556997629380535,0,0,4.347586575960343,C,First,woman,False,Cherbourg,yes,True
219,0,2,male,0.021955128488171206,0,0,2.4423470353692043,S,Second,man,True,Southampton,no,True
220,1,3,male,-0.9833488061512679,0,0,2.2027647577118348,S,Third,man,True,Southampton,yes,True
221,0,2,male,-0.19346714322028,0,0,2.6390573296152584,S,Second,man,True,Southampton,no,True
222,0,3,male,1.5299110304473298,0,0,2.2027647577118348,S,Third,man,True,Southampton,no,True
224,1,1,male,0.5964145197107078,1,0,4.51085950651685,S,First,man,True,Southampton,yes,False
225,0,3,male,-0.5525042627343654,0,0,2.336986519711378,S,Third,man,True,Southampton,no,True
226,1,2,male,-0.7679265344428166,0,0,2.4423470353692043,S,Second,man,True,Southampton,yes,True
227,0,3,male,-0.660215398588591,0,0,2.1102132003465894,S,Third,man,True,Southampton,no,True
228,0,2,male,-0.8397339583456337,0,0,2.6390573296152584,S,Second,man,True,Southampton,no,True
229,0,3,female,-0.5704561187100696,3,1,3.275887339030031,S,Third,woman,False,Southampton,no,False
230,1,1,female,0.38099224800225656,1,0,4.436455632600354,S,First,woman,False,Southampton,yes,False
231,0,3,male,-0.049852295414645864,0,0,2.1719067693519296,S,Third,man,True,Southampton,no,True
232,0,2,male,2.1043704216698664,0,0,2.6741486494265287,S,Second,man,True,Southampton,no,True
233,1,3,female,-1.7732304690822556,4,2,3.4777725458882283,S,Third,child,False,Southampton,yes,False
234,0,2,male,-0.4088894149287312,0,0,2.4423470353692043,S,Second,man,True,Southampton,no,True
235,0,3,female,-0.5704561187100696,0,0,2.145931282948669,S,Third,woman,False,Southampton,no,True
236,0,2,male,1.0272590631276102,1,0,3.295836866004329,S,Second,man,True,Southampton,no,False
237,1,2,female,-1.5578081973738045,0,2,3.305053521109253,S,Second,child,False,Southampton,yes,False
238,0,2,male,-0.7679265344428166,0,0,2.4423470353692043,S,Second,man,True,Southampton,no,True
239,0,2,male,0.23737740019662243,0,0,2.5858825671280026,S,Second,man,True,Southampton,no,True
240,0,3,female,-0.5704561187100696,1,0,2.737880811060884,C,Third,woman,False,Cherbourg,no,False
242,0,2,male,-0.049852295414645864,0,0,2.4423470353692043,S,Second,man,True,Southampton,no,True
243,0,3,male,-0.5525042627343654,0,0,2.094945728215801,S,Third,man,True,Southampton,no,True
244,0,3,male,0.021955128488171206,0,0,2.1071782966514356,C,Third,man,True,Cherbourg,no,True
245,0,1,male,1.0272590631276102,2,0,4.51085950651685,Q,First,man,True,Queenstown,no,False
246,0,3,female,-0.33708199102591413,0,0,2.1719067693519296,S,Third,woman,False,Southampton,no,True
247,1,2,female,-0.4088894149287312,0,2,2.740840023925201,S,Second,woman,False,Southampton,yes,False
248,1,1,male,0.5246070958078907,1,1,3.9806942251907276,S,First,man,True,Southampton,yes,False
249,0,2,male,1.7453333021557809,1,0,3.295836866004329,S,Second,man,True,Southampton,no,False
250,0,3,male,-0.22882591345669478,0,0,2.1102132003465894,S,Third,man,True,Southampton,no,True
251,0,3,female,-0.049852295414645864,1,1,2.4390808375825834,S,Third,woman,False,Southampton,no,False
252,0,1,male,2.319792693378318,0,0,3.3160025355989236,S,First,man,True,Southampton,no,True
253,0,3,male,0.021955128488171206,1,0,2.8390784635086144,S,Third,man,True,Southampton,no,False
254,0,3,female,0.811836791419159,0,2,3.0545906305603445,S,Third,woman,False,Southampton,no,False
255,1,3,female,-0.049852295414645864,0,2,2.7878344138303452,C,Third,woman,False,Cherbourg,yes,False
256,1,1,female,0.35311407166351566,0,0,4.384523514872469,C,First,woman,False,Cherbourg,yes,True
257,1,1,female,0.021955128488171206,0,0,4.471638793363569,S,First,woman,False,Southampton,yes,True
258,1,1,female,0.38099224800225656,0,0,6.240917354759096,C,First,woman,False,Cherbourg,yes,True
259,1,2,female,1.4581036065445128,0,1,3.295836866004329,S,Second,woman,False,Southampton,yes,False
261,1,3,male,-1.9168453168878898,4,2,3.4777725458882283,S,Third,child,False,Southampton,yes,False
262,0,1,male,1.6017184543501468,1,1,4.390118804571218,S,First,man,True,Southampton,no,False
263,0,1,male,0.740029367516342,0,0,0.0,S,First,man,True,Southampton,no,True
264,0,3,female,-0.5704561187100696,0,0,2.169053700369523,Q,Third,woman,False,Queenstown,no,True
265,0,2,male,0.45279967190507364,0,0,2.4423470353692043,S,Second,man,True,Southampton,no,True
266,0,3,male,-0.9833488061512679,4,1,3.705920919968788,S,Third,man,True,Southampton,no,False
267,1,3,male,-0.33708199102591413,1,0,2.1719067693519296,S,Third,man,True,Southampton,yes,False
268,1,1,female,2.0325629977670494,0,1,5.039951348430309,S,First,woman,False,Southampton,yes,False
269,1,1,female,0.38099224800225656,0,0,4.91730069488021,S,First,woman,False,Southampton,yes,True
270,0,1,male,0.8320424051549814,0,0,3.4657359027997265,S,First,man,True,Southampton,no,True
271,1,3,male,-0.33708199102591413,0,0,0.0,S,Third,man,True,Southampton,yes,True
272,1,2,female,0.811836791419159,0,1,3.0204248861443626,S,Second,woman,False,Southampton,yes,False
273,0,1,male,0.5246070958078907,0,1,3.4242626545931514,C,First,man,True,Cherbourg,no,False
275,1,1,female,2.391600117281135,1,0,4.368919865004903,S,First,woman,False,Southampton,yes,False
276,0,3,female,1.0990664870304272,0,0,2.169053700369523,S,Third,woman,False,Southampton,no,True
